CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;22/09/2020;13;0,237;R
ES0031405256532001ME0F;22/09/2020;14;0,205;R
ES0031405256532001ME0F;22/09/2020;15;0,164;R
ES0031405256532001ME0F;22/09/2020;16;0,163;R
ES0031405256532001ME0F;22/09/2020;17;0,12;R
ES0031405256532001ME0F;22/09/2020;18;0,126;R
ES0031405256532001ME0F;22/09/2020;19;0,132;R
ES0031405256532001ME0F;22/09/2020;20;0,08;R
ES0031405256532001ME0F;22/09/2020;21;0,284;R
ES0031405256532001ME0F;22/09/2020;22;0,513;R
ES0031405256532001ME0F;22/09/2020;23;0,219;R
ES0031405256532001ME0F;22/09/2020;24;0,102;R
ES0031405256532001ME0F;23/09/2020;1;0,071;R
ES0031405256532001ME0F;23/09/2020;2;0,129;R
ES0031405256532001ME0F;23/09/2020;3;0,091;R
ES0031405256532001ME0F;23/09/2020;4;0,03;R
ES0031405256532001ME0F;23/09/2020;5;0,037;R
ES0031405256532001ME0F;23/09/2020;6;0,048;R
ES0031405256532001ME0F;23/09/2020;7;0,15;R
ES0031405256532001ME0F;23/09/2020;8;0,037;R
ES0031405256532001ME0F;23/09/2020;9;0,121;R
ES0031405256532001ME0F;23/09/2020;10;0,137;R
ES0031405256532001ME0F;23/09/2020;11;0,073;R
ES0031405256532001ME0F;23/09/2020;12;0,049;R
ES0031405256532001ME0F;23/09/2020;13;0,051;R
ES0031405256532001ME0F;23/09/2020;14;0,195;R
ES0031405256532001ME0F;23/09/2020;15;0,085;R
ES0031405256532001ME0F;23/09/2020;16;0,158;R
ES0031405256532001ME0F;23/09/2020;17;0,083;R
ES0031405256532001ME0F;23/09/2020;18;0,061;R
ES0031405256532001ME0F;23/09/2020;19;0,055;R
ES0031405256532001ME0F;23/09/2020;20;0,055;R
ES0031405256532001ME0F;23/09/2020;21;0,067;R
ES0031405256532001ME0F;23/09/2020;22;0,097;R
ES0031405256532001ME0F;23/09/2020;23;0,127;R
ES0031405256532001ME0F;23/09/2020;24;0,464;R
ES0031405256532001ME0F;24/09/2020;1;0,566;R
